e=2062, method=EC, possExceptions=[], time=4.7404656410217285
e=2068, method=EC, possExceptions=[], time=4.923339128494263
e=2072, method=EC, possExceptions=[], time=4.333425283432007
e=2073, method=EC, possExceptions=[], time=4.5737104415893555
e=2078, method=EC, possExceptions=[23889950, 605497814], time=4.627967357635498
e=2085, method=EC, possExceptions=[], time=5.037499904632568
e=2086, method=EC, possExceptions=[], time=5.055022954940796
e=2094, method=EC, possExceptions=[], time=4.605404376983643
e=2099, method=EC, possExceptions=[], time=22.624416828155518
e=2106, method=EC, possExceptions=[], time=22.490700244903564
e=2115, method=EC, possExceptions=[], time=5.489229440689087
e=2134, method=EC, possExceptions=[], time=5.595428466796875
e=2135, method=EC, possExceptions=[], time=6.08701491355896
e=2141, method=EC, possExceptions=[], time=5.241607904434204
e=2143, method=EC, possExceptions=[], time=4.726730585098267
e=2146, method=EC, possExceptions=[], time=4.9103171825408936
e=2148, method=EC, possExceptions=[], time=4.324306488037109
e=2150, method=EC, possExceptions=[], time=4.517786502838135
e=2155, method=EC, possExceptions=[], time=4.383167028427124
e=2157, method=EC, possExceptions=[], time=5.10748553276062
e=2172, method=EC, possExceptions=[], time=5.013386249542236
e=2173, method=EC, possExceptions=[], time=4.685338973999023
e=2183, method=EC, possExceptions=[], time=35.48782706260681
e=2186, method=EC, possExceptions=[], time=3.4246556758880615
e=2192, method=EC, possExceptions=[], time=4.108731269836426
e=2196, method=EC, possExceptions=[3032152445703110789449], time=5.504511833190918
e=2198, method=EC, possExceptions=[], time=5.442423343658447
e=2199, method=EC, possExceptions=[], time=6.1240832805633545
e=2239, method=EC, possExceptions=[375487], time=5.3035125732421875
e=2241, method=EC, possExceptions=[18900787484800178751241], time=5.046040296554565
e=2246, method=EC, possExceptions=[], time=4.931356191635132
e=2257, method=EC, possExceptions=[49433120], time=4.596359729766846
e=2261, method=EC, possExceptions=[45136, 1238487215680], time=4.503126382827759
e=2263, EC failed, time=4.447977542877197
e=2263, method=MWcurve, possExceptions=[], time=7.715765953063965
e=2273, method=EC, possExceptions=[], time=4.828745126724243
e=2287, method=EC, possExceptions=[22190328], time=4.876474142074585
e=2290, method=EC, possExceptions=[], time=33.12692451477051
e=2293, method=EC, possExceptions=[], time=2.4810080528259277
e=2309, method=EC, possExceptions=[], time=3.4807345867156982
e=2311, method=EC, possExceptions=[], time=3.8628089427948
e=2318, method=EC, possExceptions=[], time=5.498521089553833
e=2325, method=EC, possExceptions=[16389389, 1883655200], time=5.722041368484497
e=2339, method=EC, possExceptions=[], time=6.17639684677124
e=2363, EC failed, time=5.254584312438965
e=2363, method=MWcurve, possExceptions=[], time=7.865139007568359
e=2393, method=EC, possExceptions=[], time=4.855901718139648
e=2402, method=EC, possExceptions=[], time=4.336422681808472
e=2414, method=EC, possExceptions=[], time=4.515535593032837
e=2417, method=EC, possExceptions=[], time=4.493998765945435
e=2446, method=EC, possExceptions=[], time=5.3970208168029785
e=2465, method=EC, possExceptions=[41769], time=4.915184497833252
e=2469, method=EC, possExceptions=[], time=36.35808253288269
e=2473, method=EC, possExceptions=[], time=3.579962730407715
e=2477, method=EC, possExceptions=[240805, 3726352, 6967873477, 66086269984], time=4.791734933853149
e=2492, method=EC, possExceptions=[113084], time=5.701549768447876
e=2495, method=EC, possExceptions=[], time=5.48576807975769
e=2498, method=EC, possExceptions=[], time=6.098272800445557
e=2507, method=EC, possExceptions=[], time=5.1630003452301025
e=2517, method=EC, possExceptions=[], time=4.761203765869141
e=2519, method=EC, possExceptions=[], time=4.991587162017822
e=2520, method=EC, possExceptions=[], time=4.355659484863281
e=2521, method=EC, possExceptions=[], time=4.517282247543335
e=2526, method=EC, possExceptions=[], time=4.422462224960327
e=2533, method=EC, possExceptions=[], time=5.1689910888671875
e=2535, method=EC, possExceptions=[], time=5.038689374923706
e=2538, method=EC, possExceptions=[4259408599], time=33.51489877700806
e=2545, method=EC, possExceptions=[], time=2.72648549079895
e=2561, method=EC, possExceptions=[], time=3.465749502182007
e=2569, method=EC, possExceptions=[], time=4.29082465171814
e=2574, method=EC, possExceptions=[20573398], time=5.574341058731079
e=2577, method=EC, possExceptions=[9940952, 1708204081241], time=5.715347766876221
e=2588, method=EC, possExceptions=[], time=6.286388158798218
e=2589, method=EC, possExceptions=[], time=5.230248689651489
e=2604, method=EC, possExceptions=[], time=4.849045515060425
e=2626, method=EC, possExceptions=[], time=4.875438451766968
e=2631, method=EC, possExceptions=[932577464], time=4.4939656257629395
e=2645, method=EC, possExceptions=[], time=4.463136672973633
e=2651, method=EC, possExceptions=[], time=4.352553129196167
e=2659, method=EC, possExceptions=[], time=5.136515140533447
e=2661, method=EC, possExceptions=[], time=33.754650354385376
e=2666, method=EC, possExceptions=[], time=3.4943504333496094
e=2670, method=EC, possExceptions=[], time=3.3262455463409424
e=2677, method=EC, possExceptions=[], time=4.821063995361328
e=2687, method=EC, possExceptions=[], time=5.593714237213135
e=2703, method=EC, possExceptions=[], time=5.648863315582275
e=2713, EC failed, time=5.9412620067596436
e=2713, method=MWcurve, possExceptions=[], time=8.717743635177612
e=2717, method=EC, possExceptions=[], time=4.938864707946777
e=2729, method=EC, possExceptions=[], time=4.580486536026001
e=2731, method=EC, possExceptions=[], time=4.4284398555755615
e=2743, method=EC, possExceptions=[11513134169216272045376], time=4.503218650817871
e=2745, method=EC, possExceptions=[], time=5.020963430404663
e=2748, method=EC, possExceptions=[], time=5.1074793338775635
e=2752, method=EC, possExceptions=[], time=4.622282981872559
e=2762, method=EC, possExceptions=[], time=22.806578636169434
e=2769, EC failed, time=9.281395435333252
e=2769, method=MWcurve, possExceptions=[], time=8.932591438293457
e=2786, method=EC, possExceptions=[], time=6.29640793800354
e=2800, method=EC, possExceptions=[], time=5.426360607147217
e=2806, method=EC, possExceptions=[6232310, 82884662, 13464288745], time=6.277256965637207
e=2822, method=EC, possExceptions=[], time=5.661437749862671
e=2826, method=EC, possExceptions=[], time=5.042214632034302
e=2829, method=EC, possExceptions=[], time=4.892024040222168
e=2835, method=EC, possExceptions=[], time=4.7404608726501465
e=2839, EC failed, time=5.007155895233154
e=2839, method=MWcurve, possExceptions=[], time=8.794696569442749
